id	type	chain_id	timestamp	block_number	transaction_type	transaction_address	token_addresses	symbols	wallets	wallets_categories	amounts	amount_stable	amount_native	prices_stable	prices_native	pool_address	direction	lp_token_address	wallet_balances	reserves	sender	to	amounts_native	amounts_stable	from_address	lp_token_dict	network	to_address
0xbee88a7e23a977b7a259ad821ef08199c5debb3834ec57751c6dbc6cd4417c54-467	erc20	137	1685560972	43379152	transfer	0xbee88a7e23a977b7a259ad821ef08199c5debb3834ec57751c6dbc6cd4417c54	0x9ff62d1fc52a907b6dcba8077c2ddca6e6a9d3e1	FORT	0xdb6f1920a889355780af7570773609bd8cb1f498', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	2.597360916	0.4305608454	None	0.1657685856	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0xdb6f1920a889355780af7570773609bd8cb1f498'}	None			None	None	None	0.4305608454	0xdb6f1920a889355780af7570773609bd8cb1f498	None	polygon	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0x8d5ec9d53c69c131153f892058ce5727ffce8abf3701c9d152c875e34bd90191-10000	native	7700	1685560972	4465293	transfer	0x8d5ec9d53c69c131153f892058ce5727ffce8abf3701c9d152c875e34bd90191	0x826551890dc65655a0aceca109ab11abdbd7a07b	WCANTO	0xebdb626c95a25f4e304336b1adcad0521a1bdca1', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	10	1.591227972	None	0.1591227972	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0xebdb626c95a25f4e304336b1adcad0521a1bdca1'}	None			None	None	None	1.591227972	0xebdb626c95a25f4e304336b1adcad0521a1bdca1	None	canto	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0x4d0dca492dea8b8745f784a52b70b5382b3cfb7d977e644dcacae4da99145d09-179	erc20	56	1685556550	28698729	transfer	0x4d0dca492dea8b8745f784a52b70b5382b3cfb7d977e644dcacae4da99145d09	0x7f9ad7a5854658d984924e868187b2135514fb88	BVSD	0xdb6f1920a889355780af7570773609bd8cb1f498', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	0.1097973871	0.01914241304	None	0.1743430655	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0xdb6f1920a889355780af7570773609bd8cb1f498'}	None			None	None	None	0.01914241304	0xdb6f1920a889355780af7570773609bd8cb1f498	None	bsc	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0xd479fe21e6af6f666ae8d035f684dbe6abc4c5e480cc945621e2d979d83be711-201	erc20	56	1685554545	28698061	transfer	0xd479fe21e6af6f666ae8d035f684dbe6abc4c5e480cc945621e2d979d83be711	0x4d1e90ab966ae26c778b2f9f365aa40abb13f53c	STA	0xdb6f1920a889355780af7570773609bd8cb1f498', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	0.02378428	0.03609775926	None	1.517715031	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0xdb6f1920a889355780af7570773609bd8cb1f498'}	None			None	None	None	0.03609775926	0xdb6f1920a889355780af7570773609bd8cb1f498	None	bsc	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0x66f78c9dd7e7e9544e046afd3c644c0c517b384439574fd5ac32d8f38a81b6bb-361	erc20	56	1685551233	28696957	transfer	0x66f78c9dd7e7e9544e046afd3c644c0c517b384439574fd5ac32d8f38a81b6bb	0x76a797a59ba2c17726896976b7b3747bfd1d220f	TONCOIN	0x6131b5fae19ea4f9d964eac0408e4408b66337b5', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	4.264215208	7.855991174	None	1.842306448	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0x6131b5fae19ea4f9d964eac0408e4408b66337b5'}	None			None	None	None	7.855991174	0x6131b5fae19ea4f9d964eac0408e4408b66337b5	None	bsc	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0xf8ac40ad69b45dba08da700603e2622bdd6bab2e216e35e0020292e97567c799-250	erc20	137	1685546863	43372670	transfer	0xf8ac40ad69b45dba08da700603e2622bdd6bab2e216e35e0020292e97567c799	0x33b6d77c607ea499ab5db7e2201c5a516a78a5db	AIMX	0x6131b5fae19ea4f9d964eac0408e4408b66337b5', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	424.4087496	3.492534765	None	0.008229177105	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0x6131b5fae19ea4f9d964eac0408e4408b66337b5'}	None			None	None	None	3.492534765	0x6131b5fae19ea4f9d964eac0408e4408b66337b5	None	polygon	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0xeae69a65ed0d2a9c4101de7fde3358848d53a84f01885b1176b97fa285444679-273	erc20	56	1685546216	28695287	transfer	0xeae69a65ed0d2a9c4101de7fde3358848d53a84f01885b1176b97fa285444679	0xef048634a3583386d09ffad8b445c7c5a97ce179	QBT	0xdb6f1920a889355780af7570773609bd8cb1f498', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	1.77865999	0.04559138122	None	0.02563243198	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0xdb6f1920a889355780af7570773609bd8cb1f498'}	None			None	None	None	0.04559138122	0xdb6f1920a889355780af7570773609bd8cb1f498	None	bsc	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0xc950e4a557e0320aea49c547cc7390302fb73a45e1bb585f4ea224b736ce8888-126	erc20	1	1685543807	17379490	transfer	0xc950e4a557e0320aea49c547cc7390302fb73a45e1bb585f4ea224b736ce8888	0xd2ce920413a18444094a894c667cd73d67a49403	USDC	0x720c9244473dfc596547c1f7b6261c7112a3dad4', '0xd1555bfc9162d32c13c72d0e5982f465a0e3d171	None	25000	0	None	0	None	None	{'to_address': '0xd1555bfc9162d32c13c72d0e5982f465a0e3d171', 'from_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4'}	None			None	None	None	0	0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	eth	0xd1555bfc9162d32c13c72d0e5982f465a0e3d171
0xca9bb132ccb755925bcc57fe678876119a30b6ca7dc12a822230b6ade578fd02-132	erc20	1	1685543759	17379486	transfer	0xca9bb132ccb755925bcc57fe678876119a30b6ca7dc12a822230b6ade578fd02	0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48	USDC	0x720c9244473dfc596547c1f7b6261c7112a3dad4', '0xd15de6629e937855e5989746a298eb4cf44cd171	None	25000	25000	None	1	None	None	{'to_address': '0xd15de6629e937855e5989746a298eb4cf44cd171', 'from_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4'}	None			None	None	None	25000	0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	eth	0xd15de6629e937855e5989746a298eb4cf44cd171
0x49d304cedc4f7a0df8a9fed8843e519fd47261b1fcfa73c6dece79e0df1f3bc8-553	erc20	56	1685543418	28694355	transfer	0x49d304cedc4f7a0df8a9fed8843e519fd47261b1fcfa73c6dece79e0df1f3bc8	0x7f9ad7a5854658d984924e868187b2135514fb88	BVSD	0xdb6f1920a889355780af7570773609bd8cb1f498', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	2.828337883	0.4895758977	None	0.1730966801	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0xdb6f1920a889355780af7570773609bd8cb1f498'}	None			None	None	None	0.4895758977	0xdb6f1920a889355780af7570773609bd8cb1f498	None	bsc	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0x212e399b9434b49a8a2953203d290029ec42cb6bdafe4694b5c33fe00d83026b-233	erc20	137	1685533170	43366254	transfer	0x212e399b9434b49a8a2953203d290029ec42cb6bdafe4694b5c33fe00d83026b	0x5fe2b58c013d7601147dcdd68c143a77499f5531	GRT	0x6131b5fae19ea4f9d964eac0408e4408b66337b5', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	54.20143017	7.319034648	None	0.1350339765	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0x6131b5fae19ea4f9d964eac0408e4408b66337b5'}	None			None	None	None	7.319034648	0x6131b5fae19ea4f9d964eac0408e4408b66337b5	None	polygon	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0x7785ba543b28ce12654e8c4a6fdc30682914960a57d12c37a09cadc78f943068-75	erc20	43114	1685532593	30726968	transfer	0x7785ba543b28ce12654e8c4a6fdc30682914960a57d12c37a09cadc78f943068	0x18fc6360e83fe91404d47ea4400a221dfbbacf06	ACS	0xdb6f1920a889355780af7570773609bd8cb1f498', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	12.76608627	0	None	0	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0xdb6f1920a889355780af7570773609bd8cb1f498'}	None			None	None	None	0	0xdb6f1920a889355780af7570773609bd8cb1f498	None	avalanche	0x720c9244473dfc596547c1f7b6261c7112a3dad4
